product_id,product_name,brand_name,category,product_type,quantity,price
P000268,AND Trendy Tunics,AND,Women,Top & Skirt Set,1 set,1081.0
P000269,Onesie - Classic Edition,Cherokee,Kids,Party Wear Set,1 set,944.0
P000270,Checked Shorts 70,Peter England,Men,T-shirt & Jeans,Single (1 piece),917.0
P000271,Batil Trendy Top,Batil,Girls,Skirt Set,1 set,1124.0
P000272,Batil Comfort Top,Batil,Girls,Dress Set,1 set,1124.0
P000273,Stylish Leggings Set,Cutecumber,Girls,Jumpsuit,2-piece set,1147.0
P000274,Floral Trackpant Set,H&M,Men,T-shirt & Jeans,1 set,2913.0
P000275,Dress - Stylish Edition,Global Desi,Women,Jumpsuit,1 set,1005.0
P000276,Checked Anarkali Set,AND,Women,Salwar & Kameez Set,1 set,1001.0
P000277,Checked Shirt,Levi's,Men,Formal Shirt,2-piece set,1119.0
P000278,Denim Jeans 78,Mothercare,Boys,Sweatshirt & Trackpant,1 set,1060.0
P000279,Trendy Shorts Set,H&M Kids,Kids,Casual Set,Single (1 piece),1081.0
P000280,Vintage Top Set,Biba,Women,Jumpsuit,2-piece set,1118.0
P000281,Floral Casual Set 81,Babyhug,Kids,Pajama Set,3-piece set,694.0
P000282,Casual Onesie,Zara Kids,Kids,Romper Set,Single (1 piece),935.0
P000283,Casual Set - Striped Edition,Zara Kids,Kids,Casual Set,3-piece set,950.0
P000284,Vintage Jacket 84,Mini Klub,Boys,T-shirt & Jeans,Single (1 piece),670.0
P000285,Global Desi Floral Kurti,Global Desi,Women,T-shirt & Jeans,2-piece set,1031.0
P000286,Formal Top 86,Vero Moda,Women,Dresses,1 set,814.0
P000287,Classic Jumpsuit Set,Mini Klub,Kids,Winter Set (Jacket & Bottom),Pack of 3,2367.0
P000288,Wow Kids Trendy Polo,Wow Kids,Boys,Casual Set,2-piece set,1017.0
P000289,Polo - Checked Edition,Zara,Men,Trackpant & Hoodie Set,Pack of 2,5000.0
P000290,Levi's Floral Shorts,Levi's,Men,Casual Shirt,Pack of 2,2073.0
P000291,Kurti - Denim Edition,YK,Girls,Skirt Set,2-piece set,812.0
P000292,Comfort Kurta Set,Roadster,Men,Jeans,2-piece set,978.0
P000293,Denim Tunics 93,Zara,Women,T-shirt & Jeans,2-piece set,3387.0
P000294,Pyjama - Trendy Edition,U.S. Polo Assn Kids,Boys,Pyjama Set,1 set,944.0
P000295,Comfort Jumpsuit Set,Global Desi,Women,Kurti & Leggings Set,2-piece set,851.0
P000296,Vintage Skirt Set,Global Desi,Women,Skirt & Top,2-piece set,1009.0
P000297,Premium Jumpsuit 97,Gini & Jony,Girls,Kurti & Leggings,Pack of 3,3324.0
P000298,Vintage Hoodie Set,Wow Kids,Boys,Sweatshirt & Trackpant,1 set,886.0
P000299,Striped Trackpant Set,Zara,Men,Kurta & Pyjama Set,Single (1 piece),3147.0
P000300,Denim Gown 0,FabIndia,Women,Skirt & Top,1 set,834.0
P000301,Vintage Hoodie Set,Arrow,Men,Trackpant & Hoodie Set,2-piece set,1231.0
P000302,Casual Jumpsuit 2,FabIndia,Women,T-shirt & Jeans,2-piece set,1013.0
P000303,Denim Frock Set,Wow Kids,Girls,Sweatshirt & Trackpant,1 set,1016.0
P000304,Gown - Casual Edition,FabIndia,Women,Jumpsuit,1 set,1055.0
P000305,Chic Kurta,Arrow,Men,Formal Shirt,1 set,1636.0
P000306,U.S. Polo Assn Kids Stylish Hoodie,U.S. Polo Assn Kids,Boys,Casual Set,1 set,1190.0
P000307,Formal Tunics,Myntra Essentials,Women,Two-piece Set,2-piece set,1007.0
P000308,Chic Leggings Set,Batil,Girls,Dress Set,2-piece set,929.0
P000309,Stylish Anarkali 9,Forever 21,Women,Dresses,Pack of 2,4472.0
P000310,Comfort Kurti Set,Mothercare,Girls,Sweatshirt & Trackpant,2-piece set,908.0
P000311,Floral Tunics 11,Biba,Women,T-shirt & Jeans,Single (1 piece),976.0
P000312,Anarkali - Formal Edition,AND,Women,T-shirt & Jeans,1 set,831.0
P000313,Striped T-shirt 13,Gini & Jony,Kids,Winter Set (Jacket & Bottom),Pack of 2,1620.0
P000314,Suit - Chic Edition,H&M,Men,Casual Shirt,Pack of 2,5000.0
P000315,Jack & Jones Floral Suit,Jack & Jones,Men,Trackpant & Hoodie Set,Pack of 2,2269.0
P000316,Arrow Chic Hoodie,Arrow,Men,Suit (Jacket & Trouser),1 set,1618.0
P000317,Floral Polo,Mini Klub,Boys,Shirt & Shorts Set,1 set,771.0
