product_id,product_name,brand_name,category,product_type,quantity
P000127,T-shirt - Striped Edition,Cherokee,Kids,Two-piece Set,1 set
P000128,Hoodie - Formal Edition,YK,Boys,Kurta & Pajama Set,1 set
P000129,YK Stylish Onesie,YK,Kids,Winter Set (Jacket & Bottom),1 set
P000130,Premium Anarkali,Vero Moda,Women,T-shirt & Jeans,3-piece set
P000131,Striped Blouse Set,W,Women,T-shirt & Jeans,1 set
P000132,Casual Shorts Set,Carter's,Kids,Onesie,2-piece set
P000133,Comfort Skirt Set,Vero Moda,Women,Dresses,Single (1 piece)
P000134,Sporty T-shirt,United Colors,Men,T-shirt,Single (1 piece)
P000135,Trendy Winter Set,Zara Kids,Kids,Jumpsuit,Single (1 piece)
P000136,Shorts - Denim Edition,U.S. Polo Assn Kids,Boys,Casual Set,Pack of 3
P000137,Trendy Winter Set 37,Babyhug,Kids,Party Wear Set,Pack of 2
P000138,Top - Vintage Edition,Vero Moda,Women,Dresses,1 set
P000139,Classic T-shirt 39,Arrow,Men,Jeans,Single (1 piece)
P000140,Vintage Kurti,Wow Kids,Girls,Jumpsuit,Pack of 2
P000141,Biba Chic Tunics,Biba,Women,Jumpsuit,2-piece set
P000142,Anarkali - Striped Edition,Vero Moda,Women,Salwar & Kameez Set,1 set
P000143,Gown - Comfort Edition,W,Women,Saree & Blouse Set,Pack of 3
P000144,Jacket - Sporty Edition,Roadster,Men,Shirt & Pant Set,1 set
P000145,Classic Winter Set Set,Babyhug,Kids,Party Wear Set,Pack of 3
P000146,Denim Tunics,H&M,Women,Dresses,1 set
P000147,Striped Kurti 47,Wow Kids,Girls,Kurti & Leggings,1 set
P000148,Sweatshirt - Checked Edition,Cherokee,Boys,Shirt & Shorts Set,Single (1 piece)
P000149,Elegant Shorts 49,YK,Kids,Onesie,1 set
P000150,Onesie - Striped Edition,Gymboree,Kids,Playwear Set,Pack of 3
P000151,Striped Shirt 51,United Colors,Men,Shirt & Pant Set,1 set
P000152,Global Desi Premium Gown,Global Desi,Women,Dress,1 set
P000153,Kurta - Formal Edition,H&M,Men,Shorts,Single (1 piece)
P000154,Trendy Playwear 54,Babyhug,Kids,Jumpsuit,2-piece set
P000155,Dress - Classic Edition,YK,Girls,T-shirt & Shorts,3-piece set
P000156,Pajama - Premium Edition,Zara Kids,Kids,Casual Set,2-piece set
P000157,Shorts - Elegant Edition,Mothercare,Kids,Playwear Set,Single (1 piece)
P000158,T-shirt - Trendy Edition,Kiddie,Boys,Kurta & Pajama Set,Pack of 3
P000159,Floral Tunics 59,FabIndia,Women,Kurti & Leggings Set,Pack of 2
P000160,Comfort Skirt Set,Minnie,Girls,Sweatshirt & Trackpant,Single (1 piece)
P000161,Chic Kurti 61,Forever 21,Women,Top & Skirt Set,Pack of 2
P000162,Classic Dress 62,Cutecumber,Girls,Sweatshirt & Trackpant,1 set
P000163,Striped Anarkali 63,Global Desi,Women,Dress,1 set
P000164,Checked Polo 64,Mothercare,Boys,Sweatshirt & Trackpant,1 set
P000165,Cherokee Elegant Top,Cherokee,Girls,Top & Skirt Set,2-piece set
P000166,Striped Set,Gini & Jony,Kids,Onesie,1 set
P000167,Floral Skirt Set,H&M,Women,Dresses,1 set
P000168,Sporty Kurti Set,W,Women,Top & Skirt Set,3-piece set
P000169,Onesie - Comfort Edition,H&M Kids,Kids,Winter Set (Jacket & Bottom),Pack of 2
P000170,Casual Romper 70,Cherokee,Kids,Playwear Set,1 set
P000171,T-shirt - Vintage Edition,Gymboree,Kids,T-shirt & Shorts,1 set
P000172,Top - Floral Edition,AND,Women,Two-piece Set,2-piece set
P000173,Trendy Frock 73,YK,Girls,Sweatshirt & Trackpant,1 set
P000174,Elegant Shorts Set,Peter England,Men,Suit (Jacket & Trouser),Single (1 piece)
P000175,Onesie - Comfort Edition,Mini Klub,Kids,Romper Set,1 set
P000176,Allen Solly Casual Shorts,Allen Solly,Men,Shorts,Pack of 3
P000177,Zara Kids Striped Winter Set,Zara Kids,Kids,Jumpsuit,1 set
P000178,Striped Trackpant,Lilliput,Boys,Jacket & Trousers,Single (1 piece)
P000179,Striped Top,Forever 21,Women,Dress,2-piece set
P000180,Striped Skirt Set,Cutecumber,Girls,Kurti & Leggings,1 set
P000181,Floral Blouse Set,Forever 21,Women,T-shirt & Jeans,1 set
P000182,Stylish Hoodie Set,H&M,Men,T-shirt,1 set
P000183,Casual Hoodie 83,Jack & Jones,Men,Suit (Jacket & Trouser),Pack of 2
P000184,Blouse - Checked Edition,Zara,Women,Kurti & Leggings Set,Pack of 3
P000185,Elegant Jumpsuit Set,YK,Girls,Party Dress Set,1 set
P000186,Formal Hoodie 86,Levi's,Men,Trackpant & Hoodie Set,2-piece set
P000187,Gown - Vintage Edition,FabIndia,Women,Skirt & Top,1 set
P000188,Jacket - Comfort Edition,H&M,Men,Jeans,Single (1 piece)
P000189,Premium Set,Gini & Jony,Kids,Winter Set (Jacket & Bottom),Single (1 piece)
P000190,Classic Tunics,W,Women,T-shirt & Jeans,1 set
P000191,H&M Floral Shorts,H&M,Men,T-shirt & Jeans,1 set
P000192,Shorts - Chic Edition,Kiddie,Boys,Shorts Set,2-piece set
P000193,Formal Skirt 93,Global Desi,Women,Kurti & Leggings Set,Pack of 3
P000194,Sporty Kurta,Jack & Jones,Men,Suit (Jacket & Trouser),1 set
P000195,AND Trendy Gown,AND,Women,Salwar & Kameez Set,1 set
P000196,Chic Winter Set,H&M Kids,Kids,Two-piece Set,2-piece set
P000197,Floral Jacket 97,Mothercare,Boys,T-shirt & Shorts,1 set
P000198,Forever 21 Premium Dress,Forever 21,Women,Dress,2-piece set
P000199,T-shirt - Comfort Edition,Cutecumber,Girls,Top & Skirt Set,Single (1 piece)
P000200,Stylish Gown Set,Forever 21,Women,Salwar & Kameez Set,1 set
P000201,Formal Shirt,Zara,Men,Kurta & Pyjama Set,1 set
P000202,Global Desi Premium Skirt,Global Desi,Women,Dresses,2-piece set
P000203,Cardigan - Trendy Edition,Gini & Jony,Girls,Jumpsuit,1 set
P000204,Formal T-shirt,Mothercare,Boys,T-shirt & Shorts,1 set
P000205,Trendy Shorts,Allen Solly,Men,Kurta & Pyjama Set,Single (1 piece)
P000206,Vintage Kurta Set,Roadster,Men,Kurta & Pyjama Set,1 set
P000207,T-shirt - Floral Edition,Wow Kids,Boys,Shirt & Shorts Set,1 set
P000208,Jacket - Formal Edition,H&M,Men,Casual Shirt,2-piece set
P000209,Gown - Classic Edition,Global Desi,Women,Kurti & Leggings Set,Pack of 3
P000210,Shorts - Elegant Edition,Mini Klub,Kids,T-shirt & Shorts,1 set
P000211,Babyhug Trendy Pyjama,Babyhug,Boys,Shirt & Shorts Set,1 set
P000212,Elegant Anarkali Set,Forever 21,Women,Top & Skirt Set,2-piece set
P000213,Tommy Hilfiger Checked Jeans,Tommy Hilfiger,Men,Casual Shirt,Single (1 piece)
P000214,United Colors Classic T-shirt,United Colors,Men,Suit (Jacket & Trouser),1 set
P000215,Casual Set - Striped Edition,YK,Kids,Party Wear Set,Single (1 piece)
P000216,Peppermint Chic Jumpsuit,Peppermint,Girls,Sweatshirt & Trackpant,1 set
P000217,Striped Skirt Set,Vero Moda,Women,Dresses,2-piece set
P000218,Sporty Shirt,Jack & Jones,Men,T-shirt & Jeans,1 set
P000219,Checked Dress Set,Biba,Women,Top & Skirt Set,2-piece set
P000220,T-shirt - Striped Edition,Cherokee,Boys,T-shirt & Jeans,2-piece set
P000221,Zara Kids Sporty Winter Set,Zara Kids,Kids,Jumpsuit,1 set
P000222,Checked Jumpsuit,YK,Kids,T-shirt & Shorts,Single (1 piece)
P000223,Sporty Polo Set,Gini & Jony,Boys,T-shirt & Shorts,1 set
P000224,Hoodie - Trendy Edition,Gini & Jony,Boys,Jacket & Trousers,1 set
P000225,Chic Jumpsuit,Peppermint,Girls,Frock Set,Single (1 piece)
P000226,AND Floral Gown,AND,Women,Two-piece Set,1 set
P000227,FabIndia Trendy Blouse,FabIndia,Women,Dress,Pack of 2
P000228,U.S. Polo Assn Kids Chic Pyjama,U.S. Polo Assn Kids,Boys,Kurta & Pajama Set,2-piece set
P000229,Premium Sweatshirt 29,Batil,Girls,Top & Skirt Set,2-piece set
P000230,United Colors Stylish Trackpant,United Colors,Men,Kurta & Pyjama Set,Pack of 2
P000231,Checked T-shirt Set,Levi's,Men,Kurta & Pyjama Set,1 set
P000232,Batil Denim Cardigan,Batil,Girls,Frock Set,3-piece set
P000233,Gini & Jony Floral Trackpant,Gini & Jony,Boys,Sweatshirt & Trackpant,1 set
P000234,Skirt - Floral Edition,Cutecumber,Girls,Salwar Set,1 set
P000235,YK Trendy Polo,YK,Boys,Casual Set,2-piece set
P000236,Trendy Blouse Set,FabIndia,Women,Dresses,2-piece set
P000237,Classic Jacket,Gini & Jony,Boys,Casual Set,Single (1 piece)
P000238,Floral Sweatshirt,Wow Kids,Boys,Shorts Set,Pack of 2
P000239,Top - Vintage Edition,Forever 21,Women,T-shirt & Jeans,1 set
P000240,Shirt - Denim Edition,Allen Solly,Men,T-shirt,Single (1 piece)
P000241,Jack & Jones Elegant Shorts,Jack & Jones,Men,Casual Shirt,1 set
P000242,Classic Shirt 42,H&M,Men,Casual Shirt,Single (1 piece)
P000243,Sporty Playwear Set,YK,Kids,Pajama Set,Single (1 piece)
P000244,Checked Jeans Set,H&M,Men,Shirt & Pant Set,1 set
P000245,Zara Kids Striped Pajama,Zara Kids,Kids,Onesie,1 set
P000246,Gown - Striped Edition,Zara,Women,Saree & Blouse Set,1 set
P000247,Chic Hoodie Set,Peter England,Men,Shorts,2-piece set
P000248,Levi's Formal Shorts,Levi's,Men,Trackpant & Hoodie Set,1 set
P000249,Stylish Shorts Set,Gini & Jony,Boys,Shirt & Shorts Set,2-piece set
P000250,Checked Polo,Babyhug,Boys,Shorts Set,1 set
P000251,Stylish Shorts 51,Wow Kids,Boys,Kurta & Pajama Set,Single (1 piece)
P000252,Stylish Jeans,H&M,Men,Shorts,Single (1 piece)
P000253,Tunics - Chic Edition,W,Women,Dress,Single (1 piece)
P000254,Sporty T-shirt 54,Gini & Jony,Boys,Shirt & Shorts Set,Single (1 piece)
P000255,Hoodie - Trendy Edition,Allen Solly,Men,Shirt & Pant Set,1 set
P000256,Striped Shorts 56,H&M Kids,Kids,Party Wear Set,1 set
P000257,Jumpsuit - Striped Edition,Zara,Women,Salwar & Kameez Set,1 set
P000258,Playwear - Classic Edition,YK,Kids,Playwear Set,1 set
P000259,Floral Blouse,AND,Women,T-shirt & Jeans,Single (1 piece)
P000260,Elegant Dress 60,Forever 21,Women,Skirt & Top,1 set
P000261,Top - Premium Edition,Mothercare,Girls,Party Dress Set,2-piece set
P000262,Premium Skirt,Zara,Women,Salwar & Kameez Set,2-piece set
P000263,Floral Jeans,Roadster,Men,Casual Shirt,2-piece set
P000264,Elegant Kurta 64,Arrow,Men,T-shirt,1 set
P000265,Chic Tunics 65,FabIndia,Women,Kurti & Leggings Set,2-piece set
P000266,Stylish Blouse 66,H&M,Women,Jumpsuit,1 set
P000267,Classic Polo Set,Lilliput,Boys,Shirt & Shorts Set,1 set
P000268,AND Trendy Tunics,AND,Women,Top & Skirt Set,1 set
P000269,Onesie - Classic Edition,Cherokee,Kids,Party Wear Set,1 set
P000270,Checked Shorts 70,Peter England,Men,T-shirt & Jeans,Single (1 piece)
P000271,Batil Trendy Top,Batil,Girls,Skirt Set,1 set
P000272,Batil Comfort Top,Batil,Girls,Dress Set,1 set
P000273,Stylish Leggings Set,Cutecumber,Girls,Jumpsuit,2-piece set
P000274,Floral Trackpant Set,H&M,Men,T-shirt & Jeans,1 set
P000275,Dress - Stylish Edition,Global Desi,Women,Jumpsuit,1 set
P000276,Checked Anarkali Set,AND,Women,Salwar & Kameez Set,1 set
P000277,Checked Shirt,Levi's,Men,Formal Shirt,2-piece set
P000278,Denim Jeans 78,Mothercare,Boys,Sweatshirt & Trackpant,1 set
P000279,Trendy Shorts Set,H&M Kids,Kids,Casual Set,Single (1 piece)
P000280,Vintage Top Set,Biba,Women,Jumpsuit,2-piece set
P000281,Floral Casual Set 81,Babyhug,Kids,Pajama Set,3-piece set
P000282,Casual Onesie,Zara Kids,Kids,Romper Set,Single (1 piece)
P000283,Casual Set - Striped Edition,Zara Kids,Kids,Casual Set,3-piece set
P000284,Vintage Jacket 84,Mini Klub,Boys,T-shirt & Jeans,Single (1 piece)
P000285,Global Desi Floral Kurti,Global Desi,Women,T-shirt & Jeans,2-piece set
P000286,Formal Top 86,Vero Moda,Women,Dresses,1 set
P000287,Classic Jumpsuit Set,Mini Klub,Kids,Winter Set (Jacket & Bottom),Pack of 3
P000288,Wow Kids Trendy Polo,Wow Kids,Boys,Casual Set,2-piece set
P000289,Polo - Checked Edition,Zara,Men,Trackpant & Hoodie Set,Pack of 2
P000290,Levi's Floral Shorts,Levi's,Men,Casual Shirt,Pack of 2
P000291,Kurti - Denim Edition,YK,Girls,Skirt Set,2-piece set
P000292,Comfort Kurta Set,Roadster,Men,Jeans,2-piece set
P000293,Denim Tunics 93,Zara,Women,T-shirt & Jeans,2-piece set
P000294,Pyjama - Trendy Edition,U.S. Polo Assn Kids,Boys,Pyjama Set,1 set
P000295,Comfort Jumpsuit Set,Global Desi,Women,Kurti & Leggings Set,2-piece set
P000296,Vintage Skirt Set,Global Desi,Women,Skirt & Top,2-piece set
P000297,Premium Jumpsuit 97,Gini & Jony,Girls,Kurti & Leggings,Pack of 3
P000298,Vintage Hoodie Set,Wow Kids,Boys,Sweatshirt & Trackpant,1 set
P000299,Striped Trackpant Set,Zara,Men,Kurta & Pyjama Set,Single (1 piece)
P000300,Denim Gown 0,FabIndia,Women,Skirt & Top,1 set
P000301,Vintage Hoodie Set,Arrow,Men,Trackpant & Hoodie Set,2-piece set
P000302,Casual Jumpsuit 2,FabIndia,Women,T-shirt & Jeans,2-piece set
P000303,Denim Frock Set,Wow Kids,Girls,Sweatshirt & Trackpant,1 set
P000304,Gown - Casual Edition,FabIndia,Women,Jumpsuit,1 set
P000305,Chic Kurta,Arrow,Men,Formal Shirt,1 set
P000306,U.S. Polo Assn Kids Stylish Hoodie,U.S. Polo Assn Kids,Boys,Casual Set,1 set
P000307,Formal Tunics,Myntra Essentials,Women,Two-piece Set,2-piece set
P000308,Chic Leggings Set,Batil,Girls,Dress Set,2-piece set
P000309,Stylish Anarkali 9,Forever 21,Women,Dresses,Pack of 2
P000310,Comfort Kurti Set,Mothercare,Girls,Sweatshirt & Trackpant,2-piece set
P000311,Floral Tunics 11,Biba,Women,T-shirt & Jeans,Single (1 piece)
P000312,Anarkali - Formal Edition,AND,Women,T-shirt & Jeans,1 set
P000313,Striped T-shirt 13,Gini & Jony,Kids,Winter Set (Jacket & Bottom),Pack of 2
P000314,Suit - Chic Edition,H&M,Men,Casual Shirt,Pack of 2
P000315,Jack & Jones Floral Suit,Jack & Jones,Men,Trackpant & Hoodie Set,Pack of 2
P000316,Arrow Chic Hoodie,Arrow,Men,Suit (Jacket & Trouser),1 set
P000317,Floral Polo,Mini Klub,Boys,Shirt & Shorts Set,1 set
P000318,Top - Denim Edition,Babyhug,Girls,Frock Set,Pack of 3
P000319,Striped Kurti 19,YK,Girls,Party Dress Set,3-piece set
P000320,Comfort Anarkali,Zara,Women,Top & Skirt Set,3-piece set
P000321,Romper - Classic Edition,Babyhug,Kids,Playwear Set,Single (1 piece)
P000322,Casual Kurti Set,Babyhug,Girls,T-shirt & Shorts,Single (1 piece)
P000323,Chic Sweatshirt Set,Wow Kids,Boys,Kurta & Pajama Set,2-piece set
P000324,Comfort Dress 24,Forever 21,Women,Skirt & Top,2-piece set
P000325,Casual Shorts 25,Peter England,Men,Trackpant & Hoodie Set,Single (1 piece)
P000326,Hoodie - Chic Edition,Lilliput,Boys,Sweatshirt & Trackpant,2-piece set
P000327,Shirt - Classic Edition,U.S. Polo Assn Kids,Boys,Pyjama Set,3-piece set
P000328,Comfort Tunics 28,Myntra Essentials,Women,Kurti & Leggings Set,1 set
P000329,Casual Pajama 29,Cherokee,Kids,Two-piece Set,Single (1 piece)
P000330,Classic T-shirt Set,Cutecumber,Girls,Top & Skirt Set,2-piece set
P000331,Trendy Jumpsuit Set,Cherokee,Kids,T-shirt & Shorts,2-piece set
P000332,Floral Polo 32,Levi's,Men,T-shirt,1 set
P000333,AND Striped Saree,AND,Women,Dresses,Single (1 piece)
P000334,Vintage Jumpsuit,Peppermint,Girls,Top & Skirt Set,2-piece set
P000335,Gymboree Denim Winter Set,Gymboree,Kids,Romper Set,Single (1 piece)
P000336,Vintage Polo,Gini & Jony,Boys,Sweatshirt & Trackpant,1 set
P000337,Vintage Leggings,Peppermint,Girls,Party Dress Set,1 set
P000338,Anarkali - Casual Edition,AND,Women,Two-piece Set,2-piece set
P000339,Mothercare Checked Frock,Mothercare,Girls,Frock Set,1 set
P000340,Elegant Sweatshirt,Mini Klub,Boys,Pyjama Set,1 set
P000341,Gymboree Premium T-shirt,Gymboree,Kids,Party Wear Set,1 set
P000342,Leggings - Premium Edition,Wow Kids,Girls,Jumpsuit,Pack of 3
P000343,AND Stylish Dress,AND,Women,Dress,3-piece set
P000344,Comfort Romper,Gini & Jony,Kids,Onesie,1 set
P000345,YK Premium Shorts,YK,Kids,Onesie,1 set
P000346,Denim Dress,Forever 21,Women,T-shirt & Jeans,1 set
P000347,Gini & Jony Denim Romper,Gini & Jony,Kids,Two-piece Set,Single (1 piece)
P000348,H&M Formal Shirt,H&M,Men,Shorts,1 set
P000349,Wow Kids Comfort Frock,Wow Kids,Girls,Party Dress Set,1 set
P000350,Floral Trackpant 50,Mothercare,Boys,Casual Set,Single (1 piece)
P000351,Wow Kids Classic Sweatshirt,Wow Kids,Boys,Casual Set,1 set
P000352,Top - Formal Edition,Biba,Women,Kurti & Leggings Set,2-piece set
P000353,Chic Hoodie Set,Mini Klub,Boys,Jacket & Trousers,Pack of 2
